日期,内容,来源
2011/1/27,中兴通讯海外市场遇阻 泰国3G招标出局,易观国际
2011/1/27,中兴通讯北美“释冰”,资本证券
2011/1/27,海外市场遇阻 中兴通讯泰国3G招标出局,资本证券
2011/1/28,中信建投：中兴通讯存在较好投资机会,Wind
2011/1/28,中兴通讯成为全球第四大手机厂商,Wind
2011/1/28,东方证券：中兴通讯将受益TD-LTE建设,Wind
2011/1/28,中金公司：通信设备公司估值已具备吸引力,Wind
2011/1/28,中兴通讯去年净利增逾30%,Wind
2011/1/31,中国通信设备双雄持续高增长,资本证券
2011/2/1,中银国际：中兴通讯2011年前景光明,Wind
2011/2/9,周三资金净流入净流出十大个股名单,Wind
2011/2/10,中兴通讯今年将加大套保产品投资,Wind
2011/2/10,埃及动荡对相关中资企业影响有限,Wind
2011/2/11,周四A股融资融券余额增至147.49亿元,Wind
2011/2/11,东方证券：中兴通讯盈利水平有望显著提高,Wind
2011/2/12,中兴通讯国际专利申请量跃居全球第二,Wind
2011/2/14,中兴通讯料今年手机销量增30-40%,Wind
2011/2/15,中兴通讯：银监会批准筹建企业集团财务公司,Wind
2011/2/15,中兴通讯：筹建企业集团财务公司获批,Wind
2011/2/16,中信证券：中兴通讯财务公司获批利于费用节减与业务扩张,Wind
2011/2/16,中国4G标准进入商用元年 8只股有望强势崛起,资本证券
2011/2/17,国金证券：互联网发展浪潮下看好两类方向,Wind
2011/2/17,申银万国：中电信FTTH规划超预期利好光通信,Wind
2011/2/17,中信证券：跨越式投资造就光通信板块性机遇,Wind
2011/2/17,IPV6引爆相关概念股 12交易日涨19%,证券时报网
2011/2/17,东方证券：光通信投资高增长趋势再次确认,Wind
2011/2/18,国泰君安：中兴通讯以新技术向海外市场扩展,Wind
2011/2/22,周一融资融券余额升至158.23亿元,Wind
2011/2/22,华泰联合：中兴通讯业绩潜力与股票估值都可期待,Wind
2011/2/22,八机构“混战”中兴通讯成交创天量,Wind
2011/2/23,周二融资融券余额升至159.53亿元,Wind
2011/2/25,东方证券：维持中兴通讯买入评级目标价40元,Wind
2011/2/28,周一资金净流入净流出十大个股名单,Wind
2011/3/1,光大证券：风险逐步释放市场将震荡上行,Wind
2011/3/7,申银万国：中兴通讯未来两年CAGR上台阶,Wind
2011/3/7,国泰君安：中兴通讯将最为受益国内4G推广,Wind
2011/3/7,光大证券：未来三个月沪指将震荡向上,Wind
2011/3/10,周三A股融资融券余额增至181.04亿元,Wind
2011/3/10,中移动4G试验网将招标 中兴通讯昨流入1.95亿元,资本证券
2011/3/11,中兴通讯备受追捧 两融余额突破180亿,证券时报网
2011/3/11,中兴通讯备受追捧 两融余额突破180亿,资本证券
2011/3/15,周一A股融资融券余额增至189.61亿元,Wind
2011/3/16,中兴通讯周三走高将于周四公布年报,Wind
2011/3/16,中兴通讯获马来西亚高速无线网络建设大单,Wind
2011/3/16,中兴通讯4G推广又结硕果 马来西亚签大单,证券时报网
2011/3/17,中兴通讯：去年净利增逾三成拟10转2派3元,Wind
2011/3/17,中兴通讯第四季净利上升49%符合预期,Wind
2011/3/18,18日资金净流入净流出十大个股名单,Wind
2011/3/18,申银万国：给予中兴通讯目标价43.8元,Wind
2011/3/18,国信证券：中兴通讯未来持续增长确定性较高,Wind
2011/3/18,中兴通讯去年净利润32.5亿元同比增32%,Wind
2011/3/18,中兴通讯投资160亿建南京研发基地,Wind
2011/3/18,中兴通讯160亿建研发基地,证券时报网
2011/3/18,中兴通讯投资160亿建南京研发基地,资本证券
