preds,targets,dates,close
0.5582375,0.0,2019/1/16,20.31
0.5597552,0.0,2019/1/17,20.01
0.49921998,0.0,2019/1/18,19.98
0.5269128,1.0,2019/1/21,21.04
0.5225769,0.0,2019/1/22,20.44
0.54621035,1.0,2019/1/23,20.45
0.55084944,0.0,2019/1/24,20.37
0.5542309,0.0,2019/1/25,20.32
0.570237,0.0,2019/1/28,20.24
0.49974233,0.0,2019/1/29,19.98
0.5509568,0.0,2019/1/30,19.71
0.531622,1.0,2019/1/31,20.11
0.5486369,1.0,2019/2/1,20.41
0.534065,1.0,2019/2/11,20.87
0.5690118,1.0,2019/2/12,21.06
0.5369182,1.0,2019/2/13,22.95
0.51371044,0.0,2019/2/14,22.85
0.49944857,1.0,2019/2/15,23.0
0.52239233,1.0,2019/2/18,24.14
0.54395354,0.0,2019/2/19,24.06
0.4788096,0.0,2019/2/20,24.0
0.5292693,1.0,2019/2/21,25.31
0.5206624,1.0,2019/2/22,27.84
0.49667624,1.0,2019/2/25,30.31
0.54230005,0.0,2019/2/26,29.9
0.52937484,0.0,2019/2/27,29.45
0.5399138,1.0,2019/2/28,29.8
0.5160167,0.0,2019/3/1,29.73
0.5701845,1.0,2019/3/4,30.31
0.5164756,1.0,2019/3/5,31.65
0.5428829,0.0,2019/3/6,31.3
0.571692,0.0,2019/3/7,30.4
0.5406462,0.0,2019/3/8,29.21
0.5131395,1.0,2019/3/11,30.4
0.472956,1.0,2019/3/12,31.09
0.49202102,0.0,2019/3/13,28.68
0.5529905,0.0,2019/3/14,28.25
0.4271667,1.0,2019/3/15,28.38
0.43685487,1.0,2019/3/18,29.19
0.41226742,0.0,2019/3/19,29.03
0.47264856,0.0,2019/3/20,28.98
0.48338506,0.0,2019/3/21,28.9
0.48548377,0.0,2019/3/22,28.22
0.4317429,1.0,2019/3/25,28.33
0.45671713,0.0,2019/3/26,27.13
0.43352756,0.0,2019/3/27,26.67
0.3976552,1.0,2019/3/28,29.34
0.4179629,0.0,2019/3/29,29.2
0.46285152,1.0,2019/4/1,30.0
0.4639201,0.0,2019/4/2,29.9
0.45096385,0.0,2019/4/3,29.85
0.43371636,1.0,2019/4/4,29.98
0.42657244,0.0,2019/4/8,29.24
0.4093538,1.0,2019/4/9,30.2
0.44910845,1.0,2019/4/10,31.5
0.49131745,0.0,2019/4/11,30.39
0.44877505,0.0,2019/4/12,30.26
0.4578822,1.0,2019/4/15,30.5
0.4310574,1.0,2019/4/16,33.55
0.45136315,1.0,2019/4/17,34.08
0.48040625,0.0,2019/4/18,34.09
0.45835072,1.0,2019/4/19,36.49
0.4029103,1.0,2019/4/22,36.76
0.41817367,0.0,2019/4/23,35.53
0.4727152,0.0,2019/4/24,35.02
0.4765848,0.0,2019/4/25,33.65
0.49162832,1.0,2019/4/26,34.17
0.44552934,0.0,2019/4/29,33.85
0.48567706,0.0,2019/4/30,32.15
0.4802394,0.0,2019/5/6,28.94
0.415602,1.0,2019/5/7,29.01
0.38626754,0.0,2019/5/8,28.89
0.44422,0.0,2019/5/9,28.3
0.3803655,1.0,2019/5/10,30.88
0.40210533,0.0,2019/5/13,30.21
0.40542686,0.0,2019/5/14,29.95
0.4459875,1.0,2019/5/15,30.51
0.48326752,0.0,2019/5/16,29.62
0.47734648,0.0,2019/5/17,28.5
0.4661331,0.0,2019/5/20,27.9
0.39565456,1.0,2019/5/21,29.2
0.4787483,1.0,2019/5/22,29.48
0.44174638,0.0,2019/5/23,28.24
0.41582537,1.0,2019/5/24,28.25
0.4048221,1.0,2019/5/27,29.29
0.42019945,1.0,2019/5/28,29.3
0.46623582,0.0,2019/5/29,29.16
0.41171378,0.0,2019/5/30,28.38
0.44928637,1.0,2019/5/31,28.76
0.48500514,1.0,2019/6/3,30.29
0.42787778,1.0,2019/6/4,30.5
0.39962226,1.0,2019/6/5,32.09
0.4833461,0.0,2019/6/6,29.78
0.4135086,1.0,2019/6/10,31.02
0.4382918,1.0,2019/6/11,31.62
0.41151565,0.0,2019/6/12,31.47
0.42896098,0.0,2019/6/13,31.22
0.44283652,0.0,2019/6/14,30.28
0.43697533,0.0,2019/6/17,29.92
0.4684945,1.0,2019/6/18,30.0
0.46474522,1.0,2019/6/19,30.97
0.44387662,1.0,2019/6/20,31.97
0.4488581,0.0,2019/6/21,31.93
0.42017198,0.0,2019/6/24,31.3
0.4080703,1.0,2019/6/25,31.58
0.46980822,0.0,2019/6/26,31.48
0.43756258,1.0,2019/6/27,32.81
0.45731238,0.0,2019/6/28,32.53
0.46638575,1.0,2019/7/1,33.9
0.44467497,1.0,2019/7/2,34.08
0.4711005,0.0,2019/7/3,33.2
0.47726554,1.0,2019/7/4,33.24
0.38491893,1.0,2019/7/5,33.28
0.4038186,0.0,2019/7/8,32.26
0.42962223,0.0,2019/7/9,32.18
0.46389318,1.0,2019/7/10,32.44
0.43193254,0.0,2019/7/11,32.06
0.46673512,1.0,2019/7/12,32.2
0.46075118,1.0,2019/7/15,32.87
0.41184264,1.0,2019/7/16,32.93
0.40287796,0.0,2019/7/17,32.51
0.46555308,0.0,2019/7/18,31.36
0.45876035,0.0,2019/7/19,31.22
0.42214,1.0,2019/7/22,31.28
0.45408335,1.0,2019/7/23,31.57
0.46197483,1.0,2019/7/24,32.71
0.4922364,1.0,2019/7/25,33.15
0.4060411,1.0,2019/7/26,33.4
0.44764912,0.0,2019/7/29,33.34
